cluster_id,step_index,propagation_distance,response_mag_vs_observed_pearson,response_mag_vs_observed_spearman,response_mag_vs_observed_count,response_mag_vs_los_mag_pearson,response_mag_vs_los_mag_spearman,response_mag_vs_los_mag_count,response_mag_rms,response_x_vs_observed_pearson,response_x_vs_observed_spearman,response_x_vs_observed_count,response_x_vs_los_mag_pearson,response_x_vs_los_mag_spearman,response_x_vs_los_mag_count,response_x_rms,response_y_vs_observed_pearson,response_y_vs_observed_spearman,response_y_vs_observed_count,response_y_vs_los_mag_pearson,response_y_vs_los_mag_spearman,response_y_vs_los_mag_count,response_y_rms,parallel_mag_vs_observed_pearson,parallel_mag_vs_observed_spearman,parallel_mag_vs_observed_count,parallel_mag_vs_los_mag_pearson,parallel_mag_vs_los_mag_spearman,parallel_mag_vs_los_mag_count,parallel_mag_rms,perp_mag_vs_observed_pearson,perp_mag_vs_observed_spearman,perp_mag_vs_observed_count,perp_mag_vs_los_mag_pearson,perp_mag_vs_los_mag_spearman,perp_mag_vs_los_mag_count,perp_mag_rms,perp_x_vs_observed_pearson,perp_x_vs_observed_spearman,perp_x_vs_observed_count,perp_x_vs_los_mag_pearson,perp_x_vs_los_mag_spearman,perp_x_vs_los_mag_count,perp_x_rms,perp_y_vs_observed_pearson,perp_y_vs_observed_spearman,perp_y_vs_observed_count,perp_y_vs_los_mag_pearson,perp_y_vs_los_mag_spearman,perp_y_vs_los_mag_count,perp_y_rms,last_delta_vx_vs_observed_pearson,last_delta_vx_vs_observed_spearman,last_delta_vx_vs_observed_count,last_delta_vx_vs_los_mag_pearson,last_delta_vx_vs_los_mag_spearman,last_delta_vx_vs_los_mag_count,last_delta_vx_rms,last_delta_vy_vs_observed_pearson,last_delta_vy_vs_observed_spearman,last_delta_vy_vs_observed_count,last_delta_vy_vs_los_mag_pearson,last_delta_vy_vs_los_mag_spearman,last_delta_vy_vs_los_mag_count,last_delta_vy_rms,last_delta_v_mag_vs_observed_pearson,last_delta_v_mag_vs_observed_spearman,last_delta_v_mag_vs_observed_count,last_delta_v_mag_vs_los_mag_pearson,last_delta_v_mag_vs_los_mag_spearman,last_delta_v_mag_vs_los_mag_count,last_delta_v_mag_rms,accumulated_delta_vx_vs_observed_pearson,accumulated_delta_vx_vs_observed_spearman,accumulated_delta_vx_vs_observed_count,accumulated_delta_vx_vs_los_mag_pearson,accumulated_delta_vx_vs_los_mag_spearman,accumulated_delta_vx_vs_los_mag_count,accumulated_delta_vx_rms,accumulated_delta_vy_vs_observed_pearson,accumulated_delta_vy_vs_observed_spearman,accumulated_delta_vy_vs_observed_count,accumulated_delta_vy_vs_los_mag_pearson,accumulated_delta_vy_vs_los_mag_spearman,accumulated_delta_vy_vs_los_mag_count,accumulated_delta_vy_rms,accumulated_delta_v_mag_vs_observed_pearson,accumulated_delta_v_mag_vs_observed_spearman,accumulated_delta_v_mag_vs_observed_count,accumulated_delta_v_mag_vs_los_mag_pearson,accumulated_delta_v_mag_vs_los_mag_spearman,accumulated_delta_v_mag_vs_los_mag_count,accumulated_delta_v_mag_rms,longitudinal_displacement_residual_vs_observed_pearson,longitudinal_displacement_residual_vs_observed_spearman,longitudinal_displacement_residual_vs_observed_count,longitudinal_displacement_residual_vs_los_mag_pearson,longitudinal_displacement_residual_vs_los_mag_spearman,longitudinal_displacement_residual_vs_los_mag_count,longitudinal_displacement_residual_rms,transverse_displacement_vs_observed_pearson,transverse_displacement_vs_observed_spearman,transverse_displacement_vs_observed_count,transverse_displacement_vs_los_mag_pearson,transverse_displacement_vs_los_mag_spearman,transverse_displacement_vs_los_mag_count,transverse_displacement_rms,abs_transverse_displacement_vs_observed_pearson,abs_transverse_displacement_vs_observed_spearman,abs_transverse_displacement_vs_observed_count,abs_transverse_displacement_vs_los_mag_pearson,abs_transverse_displacement_vs_los_mag_spearman,abs_transverse_displacement_vs_los_mag_count,abs_transverse_displacement_rms,linear_kappa_vs_observed_pearson,linear_kappa_vs_observed_spearman,linear_kappa_vs_observed_count,linear_kappa_vs_los_mag_pearson,linear_kappa_vs_los_mag_spearman,linear_kappa_vs_los_mag_count,linear_kappa_rms
MACS0416,1,0.03,0.754984358651476,0.6627207730659891,1024,0.8949647231361284,0.8425194795615478,1024,0.00010878200416979808,-0.372169766904595,-0.002671740798766983,1024,-0.3685378849835565,0.044405074297260566,1024,6.478948596339234e-05,-0.17400347437454133,-0.06454682122260215,1024,-0.37281297091094784,-0.17413892067806308,1024,5.4689023714064544e-05,0.6893435377373069,0.5697903186580489,1024,0.8420386000784622,0.760441715542522,1024,7.51935556488268e-05,0.7235107742076634,0.6089709476180987,1024,0.8400893013578538,0.7482121718761175,1024,7.368215020303107e-05,nan,-0.6056007989097975,1024,nan,-0.7380393815714184,1024,5.825920903223966e-10,-0.17400468615430592,-0.0645551253573584,1024,-0.37281468511221577,-0.17414590560403403,1024,5.468917647283433e-05,nan,-0.6189240287128971,1024,nan,-0.7321226575352264,1024,8.604792197875724e-12,-0.1652979667219144,-0.06583143622226531,1024,-0.3605877425754736,-0.16981313926042485,1024,1.568533701083891e-06,0.7174668533364843,0.613429720334023,1024,0.82770676930412,0.7378461282275945,1024,2.1526660604574764e-06,nan,-0.6189240287128971,1024,nan,-0.7321226575352264,1024,8.604792197875724e-12,-0.1652979667219144,-0.06583143622226531,1024,-0.3605877425754736,-0.16981313926042485,1024,1.568533701083891e-06,0.7174668533364843,0.613429720334023,1024,0.82770676930412,0.7378461282275945,1024,2.1526660604574764e-06,nan,-0.6185952445010915,1024,nan,-0.7319052622876945,1024,2.581451785948542e-13,-0.1652979667264663,-0.06583143622226531,1024,-0.36058774259107695,-0.16981313926042485,1024,4.705601103239482e-08,0.7174668533332021,0.613429720334023,1024,0.8277067692795101,0.7378461282275945,1024,6.457998181417454e-08,-0.04161838962160255,0.11554250158429902,1024,-0.08203289386984884,0.08664761551391174,1024,5.355882618760372e-07
MACS0416,5,0.15,0.7764159643532553,0.6706923512547218,1024,0.8944301911043497,0.8029054051033545,1024,0.00011727445104184081,-0.3624042214637274,0.023498723120844868,1024,-0.31861564330377506,0.09213182175810028,1024,6.51688280418535e-05,-0.2216810068572952,-0.07119706963014504,1024,-0.42350126697868967,-0.17247317788427152,1024,5.755451185504979e-05,0.72432261345864,0.5914773098108463,1024,0.8526267936469055,0.7266455032722982,1024,8.174957539795234e-05,0.7585649652554967,0.6340565987144103,1024,0.8580731324254847,0.7332388934089121,1024,7.872232903453518e-05,nan,-0.5814096584799963,1024,nan,-0.7275455528932122,1024,3.6987681289240206e-09,-0.2216868264338097,-0.07121057083443247,1024,-0.42350842869469935,-0.17247654182461913,1024,5.755537970699048e-05,nan,-0.5879108012862159,1024,nan,-0.7379689064623417,1024,9.703741474996939e-11,-0.20691557238467637,-0.06071253508743966,1024,-0.41455806247256716,-0.17078178644231456,1024,1.7555707625745602e-06,0.7422594734492396,0.6208500067986813,1024,0.8569434698377745,0.7449832920570775,1024,2.3532088231261348e-06,nan,-0.6047696030796185,1024,nan,-0.7462171876117588,1024,2.518278774641083e-10,-0.1877380851409461,-0.06157437686311219,1024,-0.3920724249981264,-0.17308415215292183,1024,8.301757598185103e-06,0.7326901940037416,0.601177690385,1024,0.8506315981452874,0.7473935609040842,1024,1.0892948847577367e-05,nan,-0.6095474535117694,1024,nan,-0.7468031614333739,1024,1.60340329197986e-11,-0.1802893508140479,-0.0635272120630543,1024,-0.38208927289845124,-0.17327620967741936,1024,7.346649094476009e-07,0.7288606847538199,0.6028526667771691,1024,0.8458125280633119,0.746913299746084,1024,9.69806630046945e-07,-0.03913459173724748,0.11565260122290455,1024,-0.0933245641954213,0.0861105138223303,1024,8.310105751474909e-06
MACS0416,10,0.3,0.7769084820858616,0.5991704033081636,1024,0.7900110738066727,0.5702162868357056,1024,0.00012595609611360214,-0.050009234658757236,0.10764825355489141,1024,0.1343926278941986,0.18171797886417282,1024,7.14628145316309e-05,-0.2537671973265907,-0.08036902558616148,1024,-0.39630119745984577,-0.12443341633288034,1024,6.31062504032638e-05,0.7405602838891446,0.5346682992365168,1024,0.7517524005092358,0.4952448859166011,1024,8.774905084226299e-05,0.7418929423105485,0.5514230255213726,1024,0.7649260037809769,0.5340089451755955,1024,8.550587295162711e-05,nan,-0.45227746830831245,1024,nan,-0.5291537510728846,1024,9.368290915611194e-09,-0.2537701458193759,-0.08038480679514645,1024,-0.39629304868843085,-0.12445739977469422,1024,6.3105787978475e-05,nan,-0.49680454063670426,1024,nan,-0.5834002843144267,1024,2.5882040710667164e-10,-0.2498877766606174,-0.08337955943589279,1024,-0.40478342446435744,-0.13495705108718975,1024,1.8450460840009078e-06,0.7505059364529304,0.5739944461434394,1024,0.7869325941105835,0.5798304283491882,1024,2.5149070528742642e-06,nan,-0.6009514893307175,1024,nan,-0.7191513706101137,1024,1.189330175924247e-09,-0.22231355626062238,-0.07769347360307163,1024,-0.4210705505621377,-0.17605429913811602,1024,1.651111772273213e-05,0.7537249181374455,0.59594028488837,1024,0.853255219633562,0.7175495538588084,1024,2.1775560504170594e-05,nan,-0.6111905210146665,1024,nan,-0.7377983960374794,1024,1.2803662106254265e-10,-0.2035720283842021,-0.0688233276806461,1024,-0.40703174127378483,-0.1754949686181246,1024,2.703964299691741e-06,0.7440195093958188,0.5966237274729532,1024,0.8555242210764934,0.737346778663901,1024,3.55254196450599e-06,-0.035156766813282087,0.11810675804396646,1024,-0.10171001686939689,0.09096737313139261,1024,3.060393587493196e-05
MACS0416,20,0.6,0.6465425202053996,0.36118939181391313,1024,0.5357542950950528,0.2892697120198841,1024,0.0001334813432529562,0.20929699753856365,0.1169330026844747,1024,0.2625917827397102,0.12118044131321079,1024,8.269792703650637e-05,-0.197436700763345,-0.03128957740781619,1024,-0.2084188980390193,-0.046191382501251696,1024,6.723591907775104e-05,0.6145676444576742,0.343251946621686,1024,0.4999088325220208,0.26775033974679924,1024,9.376743423446774e-05,0.6192226501997927,0.3241906155844791,1024,0.5304588523512,0.25818389689578713,1024,9.048990240727832e-05,nan,-0.2507524019250885,1024,nan,-0.2086457290251055,1024,1.6563188205986542e-08,-0.19740437262921798,-0.03129803801348306,1024,-0.20835720653915088,-0.046197026321436234,1024,6.723396580175718e-05,nan,-0.2840055774961984,1024,nan,-0.2437574766647593,1024,4.859484119335148e-10,-0.20979310077871402,-0.037071032260657756,1024,-0.23651645350222858,-0.054662611311780275,1024,1.986460840804e-06,0.6410457512449266,0.3482001379930297,1024,0.5628475469204048,0.27799111293898865,1024,2.68949369136391e-06,nan,-0.5309854881193241,1024,nan,-0.5775312589407052,1024,5.151268280508569e-09,-0.26106510265266925,-0.08744335486744799,1024,-0.41585960158151325,-0.16196040608683213,1024,3.260550328865101e-05,0.7442990791597464,0.5211971708934043,1024,0.7845023927670609,0.5707740639081611,1024,4.290961899395854e-05,nan,-0.5843226327169586,1024,nan,-0.6643777492668622,1024,1.1051312270211053e-09,-0.2429415358735536,-0.08507932529090086,1024,-0.428412384605495,-0.17498679010800372,1024,1.0179022641008446e-05,0.7564726738755749,0.5703558827644701,1024,0.836028898567552,0.6710518404441742,1024,1.3389813252950857e-05,-0.023463679527789383,0.11560280994384783,1024,-0.10915542661003663,0.08964914437450826,1024,0.00011611868062299175
MACS0416,40,1.2,0.34055786914007397,0.16270664522826278,1024,0.21679587240832252,0.05801158715399471,1024,0.000133386191047917,0.06090785359714925,0.028655724922405493,1024,-0.0018361364333147176,-0.0016047113046277091,1024,7.210514486416956e-05,-0.019272869520310203,-0.02685443179939492,1024,0.02471790433000352,-0.0096385272870324,1024,6.572693274138198e-05,0.3184502231303503,0.1646126844494371,1024,0.19315043072760618,0.06518935296116157,1024,9.260604867476202e-05,0.34401785599165946,0.15927624404288085,1024,0.22529851569186723,0.05748953937486589,1024,9.003504577481486e-05,nan,-0.09716824549210028,1024,nan,-0.055740279218224734,1024,2.303962143325805e-08,-0.019228116745407357,-0.026841165301473412,1024,0.024736472254813322,-0.009607547743365996,1024,6.572410875504885e-05,nan,-0.10176447790300064,1024,nan,-0.058556836063228666,1024,7.315902698429078e-10,-0.016842257632331513,-0.023403622336671228,1024,0.036608889694655235,-0.004356649202489092,1024,2.008326714120705e-06,0.3512389918073217,0.16212087402138484,1024,0.230850618966757,0.06544773934267935,1024,2.726879709679737e-06,nan,-0.3594686253274017,1024,nan,-0.33969721184107005,1024,1.4225309452899262e-08,-0.20245291476771302,-0.0744074280092265,1024,-0.2416418581047362,-0.10963891844288677,1024,5.800347228843265e-05,0.6313704487780882,0.3457284117240043,1024,0.5630964005214293,0.32949360963092766,1024,7.430835118685535e-05,nan,-0.48322267559485016,1024,nan,-0.4957711805307203,1024,6.691641469211794e-09,-0.2460081883171739,-0.08544562369265274,1024,-0.3599744288105088,-0.15109323590944854,1024,3.667337803195626e-05,0.7210929732875585,0.47265366911339945,1024,0.7236586947683386,0.5104205707746227,1024,4.7659320089265185e-05,-0.005388481962423965,0.09358867164643328,1024,-0.10761559774375438,0.07523891799585151,1024,0.00041690743491127973
MACS0416,80,2.4,0.0004999647987040415,0.07881009472720135,1024,-0.05630792572100694,-0.03245563175023246,1024,0.00013664286662277397,0.02864920742945883,-0.006644090159560796,1024,0.027060533440492213,-0.025005029146699092,1024,8.283171455877595e-05,-0.02424214395712707,-0.032658451992846026,1024,0.007396581124986974,0.002218032508404263,1024,6.9886270834519e-05,-0.010563075438678548,0.05994247467733698,1024,-0.061548664981717106,-0.04603138858093126,1024,9.543985333061342e-05,0.019292555640073164,0.10455167188081495,1024,-0.038100749156586296,0.00016730294685644804,1024,9.305077037102415e-05,nan,-0.11156814045465442,1024,nan,-0.05762563926042486,1024,2.7188765578473178e-08,-0.02422116153192157,-0.032679832625132334,1024,0.007408472498911811,0.0021919368249767542,1024,6.988228767528677e-05,nan,-0.11128497281241405,1024,nan,-0.06049920427723339,1024,8.051783115499417e-10,-0.03013981584112779,-0.03568507999338355,1024,0.0022476830038694216,-0.0007907383234389528,1024,2.1109884108932656e-06,0.02773953570195963,0.10967635126283977,1024,-0.0324090719273781,0.008268520670910521,1024,2.7986379677491197e-06,nan,-0.3135328118612538,1024,nan,-0.24450176802446177,1024,3.0315862263264643e-08,-0.1691702462412215,-0.0679041169632456,1024,-0.16991843231253362,-0.053714896556040344,1024,9.52173999969717e-05,0.4869508711970962,0.30655873572769765,1024,0.4021841998194306,0.23226048968242616,1024,0.00012020303236680348,nan,-0.3854673847755998,1024,nan,-0.3466924084471783,1024,3.201927129823224e-08,-0.2066540291388367,-0.08028523541352664,1024,-0.2551041550780961,-0.101180486016737,1024,0.00012316786361022143,0.6309190916937261,0.3739791899297358,1024,0.5738922699271709,0.36162523022316,1024,0.00015782564925015323,-0.004671756040145917,0.06697377445820413,1024,-0.08314332728612779,0.06792351003147128,1024,0.001407619754567575
MACS0416,120,3.5999999999999996,-0.04935623238640964,-0.12080408183661916,1024,-0.07347981622006722,-0.16923697786281383,1024,0.0001334342521513465,-0.07555394659519131,-0.057931722887479754,1024,-0.07434841190271718,-0.04694585508904942,1024,8.214232792943591e-05,-0.046334303316450526,-0.04636162669640191,1024,-0.030622501674394703,-0.03771353756884343,1024,6.82594284716648e-05,-0.04262933819403547,-0.08283886302776583,1024,-0.06901018702201657,-0.12048052937915743,1024,9.34464465164097e-05,-0.047831644039826635,-0.1221731799515213,1024,-0.07210701306985326,-0.19067055289321222,1024,9.053470974921038e-05,nan,0.05734502403163172,1024,nan,0.07527606662613547,1024,2.4937526944665944e-08,-0.046324902421161405,-0.04635470844685396,1024,-0.03062347648711391,-0.037701758189686005,1024,6.825625413394888e-05,nan,0.06658502248077884,1024,nan,0.08406317055289321,1024,7.408630528687633e-10,-0.04439165616158102,-0.042859561833957886,1024,-0.027609893021675335,-0.036180787765538944,1024,1.9956564883343484e-06,-0.05335527852834482,-0.12221745004273199,1024,-0.07857239057228023,-0.1947281243294471,1024,2.6824052530104353e-06,-0.3090205238632769,-0.2128380026327045,1024,-0.23197907408948878,-0.1231036428903512,1024,4.2069069366540514e-08,-0.1413238451415202,-0.08528815807410504,1024,-0.12506879695328768,-0.05024039321221658,1024,0.00012353058766957344,0.3624729630138336,0.21855485735244892,1024,0.27873727529432085,0.12210225037550962,1024,0.00015441219267188063,-0.4808976208908065,-0.32596434747423403,1024,-0.39589349534072493,-0.2507453642443316,1024,7.176334373788007e-08,-0.18670013035757502,-0.07676467345414908,1024,-0.2062880834915733,-0.07354343618124598,1024,0.00024351916126218434,0.5565494018455522,0.33688324526480923,1024,0.4803045290020928,0.2797053702346041,1024,0.0003087453799702781,-0.00767568279726371,0.04567887705442292,1024,-0.07159080530854833,0.047265630587940775,1024,0.002774577744494235
MACS0416,159,4.77,-0.044933025564465254,-0.028404421463462694,1024,-0.04555418192358158,-0.019954536513840212,1024,0.00013057998216301923,-0.056595853053632406,-0.08566604649973612,1024,-0.03838287528850587,-0.04492608271940491,1024,6.895962131717542e-05,-0.009341918686135646,-0.09955879688799682,1024,-0.02608137640400874,-0.11994701514555468,1024,6.416147123615663e-05,-0.03843131418991407,-0.014295439453224403,1024,-0.03651472217842752,0.005611432479794006,1024,9.02661672301982e-05,-0.048667230030410444,-0.03850095285381504,1024,-0.04967645013607716,-0.041064804466776336,1024,8.804316626026201e-05,nan,-0.20761185186514525,1024,nan,-0.16461110167370002,1024,2.5046218928961823e-08,-0.009344676126240391,-0.09955691923706943,1024,-0.026090543781474018,-0.11997513366354338,1024,6.415849865365926e-05,nan,-0.2011237408504813,1024,nan,-0.15863698948573063,1024,7.794940431414326e-10,-0.007286806297745561,-0.09345922549737945,1024,-0.02257478375579296,-0.10863834176739862,1024,1.9300390673046618e-06,-0.048714799963390926,-0.03964080990817123,1024,-0.04734449286357712,-0.04046431317502325,1024,2.647008524956954e-06,-0.31719174332470446,-0.20895789287371877,1024,-0.23940841107372526,-0.1026875201165868,1024,5.362342340650525e-08,-0.12975360497868493,-0.09932543170130677,1024,-0.10739134829677827,-0.048790870198841284,1024,0.00014746609529830347,0.3504081091675279,0.2229572670110706,1024,0.26586118843725853,0.11002363698948574,1024,0.00018376467366882425,-0.42709797284824347,-0.26313084919339547,1024,-0.34169139462826953,-0.17191143337386453,1024,1.2267111455095959e-07,-0.1748371552332319,-0.08605133376414062,1024,-0.17843681715301965,-0.05998415259995708,1024,0.000387126016595818,0.5054031688136625,0.3038319283448875,1024,0.42401081346389324,0.2284884173163579,1024,0.0004876605261997089,-0.0046217243517842335,0.03917152011775321,1024,-0.06220127957681865,0.03490435680566483,1024,0.004408865048135948
MACS1149,0,0.0,0.8408711544222794,0.8497158438286796,1024,0.9129308647864849,0.9187967040090123,1024,7.669578788760765e-05,-0.35260606157753616,-0.14654670358951036,1024,-0.4024071413097425,-0.09945132009512911,1024,4.2663997845076506e-05,-0.03684985616544586,-0.010863740061982766,1024,-0.11761601046785125,-0.024274316483084184,1024,4.557290851465791e-05,0.7937824865747387,0.7796396186385481,1024,0.8825974022983583,0.8523614972999071,1024,4.99149228914172e-05,0.7723168556352028,0.8163948552819781,1024,0.814232195641899,0.867820636041771,1024,5.340466626447931e-05,nan,nan,1024,nan,nan,1024,0.0,-0.03684985616544586,-0.010863740061982766,1024,-0.11761601046785125,-0.024274316483084184,1024,4.557290851465791e-05,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,nan,1024,nan,nan,1024,0.0,nan,-0.022821162603150317,1024,nan,-0.02933526382804484,1024,5.795326635978589e-16
MACS1149,1,0.03,0.8402787384931579,0.8428415194125204,1024,0.9257630789920523,0.9268263960911237,1024,7.820570155802813e-05,-0.36256264722310305,-0.13534890522494372,1024,-0.3946758933554412,-0.08061209185680566,1024,4.549802219264157e-05,-0.036718704227067654,-0.01924509870009937,1024,-0.11421516488112284,-0.032360625581145844,1024,4.646888664710414e-05,0.7843901993326957,0.7651358601320007,1024,0.8856946584786247,0.8536047358915672,1024,5.167771154755735e-05,0.769234394800297,0.8079393278999218,1024,0.8207679297138807,0.8708610904978185,1024,5.408915475751205e-05,nan,-0.8051840761299351,1024,nan,-0.867386229525785,1024,2.564296566514842e-10,-0.03671904668524761,-0.01924509870009937,1024,-0.11421587209936435,-0.032360625581145844,1024,4.646892768203486e-05,nan,-0.8172932141131192,1024,nan,-0.8667227813268978,1024,3.846073109220369e-12,-0.03685017178648819,-0.010863740061982766,1024,-0.11761660856814661,-0.024274316483084184,1024,1.3671884263660063e-06,0.7723175116518283,0.8163948552819781,1024,0.8142328782607937,0.867820636041771,1024,1.602141781336396e-06,nan,-0.8172932141131192,1024,nan,-0.8667227813268978,1024,3.846073109220369e-12,-0.03685017178648819,-0.010863740061982766,1024,-0.11761660856814661,-0.024274316483084184,1024,1.3671884263660063e-06,0.7723175116518283,0.8163948552819781,1024,0.8142328782607937,0.867820636041771,1024,1.602141781336396e-06,nan,-0.8171600688319527,1024,nan,-0.8669543433700097,1024,1.1537520946675227e-13,-0.03685017172587689,-0.010863740061982766,1024,-0.11761660852023882,-0.024274316483084184,1024,4.1015652787040684e-08,0.7723175117082035,0.8163948552819781,1024,0.8142328782724048,0.867820636041771,1024,4.8064253435910264e-08,-0.0596127152050983,0.1951391164209312,1024,-0.21209189349451832,0.11107269463915313,1024,3.074611993910067e-07
MACS1149,5,0.15,0.8410305103700728,0.838563134561894,1024,0.923908612441116,0.9060923194871612,1024,8.346372695538724e-05,-0.406446117962509,-0.11752424442156774,1024,-0.3761484046367529,-0.04182255158786925,1024,5.038128901041966e-05,-0.052453107525556236,-0.0350230698572758,1024,-0.13603381903931838,-0.04041406641155854,1024,4.756219228213658e-05,0.7843956985431962,0.772308535906287,1024,0.8748876375459785,0.8378736655997425,1024,5.632966866805304e-05,0.7828054629221036,0.804134414897615,1024,0.8373649448740925,0.8705039987304198,1024,5.621286384877156e-05,nan,-0.7777393051128563,1024,nan,-0.8622594726772048,1024,1.3112960681001947e-09,-0.052453786635622515,-0.0350230698572758,1024,-0.13603695299204582,-0.04041406641155854,1024,4.756248646403211e-05,nan,-0.7793616465020851,1024,nan,-0.8640189475895859,1024,3.747596823013888e-11,-0.037838163830669666,-0.034062312769917405,1024,-0.10420880805465317,-0.04003483522280237,1024,1.4437993623996184e-06,0.7682637024453071,0.7988036754269956,1024,0.8321835712118645,0.8728298896716973,1024,1.6638456171128757e-06,nan,-0.8004442782081626,1024,nan,-0.8769412394499678,1024,1.0147431416046673e-10,-0.037351837080116815,-0.02759529338997887,1024,-0.1110661846173022,-0.03780866667262714,1024,7.031505336948509e-06,0.76470377242545,0.7982605834188974,1024,0.8208599770480693,0.8726785682354624,1024,8.040901284073328e-06,nan,-0.8056316099198586,1024,nan,-0.8762723032285359,1024,6.609886634623525e-12,-0.03713187471770276,-0.02249009440326594,1024,-0.11327815773514428,-0.034576858772619984,1024,6.273667857535663e-07,0.7665015762648045,0.8027172459465108,1024,0.8182548078224737,0.87077959596953,1024,7.20514021944055e-07,-0.057976571902871046,0.1847303744735631,1024,-0.22147003063026138,0.10024496414777198,1024,4.736742668321225e-06
MACS1149,10,0.3,0.7983362763194981,0.7718644510408936,1024,0.7767527910566518,0.7739209462842429,1024,9.299336898970874e-05,-0.37283982943509497,-0.04437365690165476,1024,-0.24622245452348096,0.03237377959373435,1024,5.42840750095337e-05,-0.10717525617753415,-0.05814490895624651,1024,-0.2521644355246517,-0.06076914652027752,1024,5.4500063519256766e-05,0.7714095547383036,0.6966682188197911,1024,0.7128009422160311,0.6753926310707389,1024,6.02071320915696e-05,0.7241629234316677,0.7290418613380851,1024,0.734747793187908,0.7583555584364494,1024,6.586734098065835e-05,nan,-0.6734805873007839,1024,nan,-0.7363131213790144,1024,4.010305134213379e-09,-0.10716769528777931,-0.05814490895624651,1024,-0.25216149199397425,-0.06076914652027752,1024,5.450116232742893e-05,nan,-0.7262790379077324,1024,nan,-0.7922581203955368,1024,1.0817618028935076e-10,-0.09960370605607968,-0.050136243646374784,1024,-0.23584343342119088,-0.052624409913453976,1024,1.5644298538161876e-06,0.744497280177701,0.7526261249255645,1024,0.7624622982379364,0.7886578548565911,1024,1.8997502386426055e-06,nan,-0.7915538413602119,1024,nan,-0.8664193593090623,1024,4.518267707944107e-10,-0.06002313851013544,-0.03760502839385223,1024,-0.1564575304444504,-0.04348396931549961,1024,1.3988742102906145e-05,0.776273559280796,0.7900102620026133,1024,0.8292107416331199,0.8637207527179744,1024,1.6021643022502647e-05,nan,-0.8016771423335551,1024,nan,-0.8773899814854478,1024,4.8687290799263514e-11,-0.047242506275388604,-0.03022224602933549,1024,-0.1313476608832654,-0.03822424182819541,1024,2.2976550138524885e-06,0.772255516765315,0.7965975953451649,1024,0.8267824683524956,0.872180392139332,1024,2.628432988369092e-06,-0.06278599128829801,0.18829082622296048,1024,-0.2238834676621108,0.11048758136041771,1024,1.7076036367387285e-05
MACS1149,20,0.6,0.6569267875940159,0.6178862494152275,1024,0.6194264210664298,0.5912092639117373,1024,0.00010279424038946611,-0.021260648785946894,0.030679596667207785,1024,-0.02047522116735043,0.05277913999356269,1024,6.274875653635737e-05,-0.14441041862286563,-0.10720702177565691,1024,-0.21845678375069866,-0.13436971380802518,1024,5.883323302794955e-05,0.6296557724157189,0.5450639255028434,1024,0.5925942957291334,0.5133539938130319,1024,6.859688095996309e-05,0.6044932962793086,0.5823702896138596,1024,0.5621042634937735,0.5632123730419856,1024,7.19010114774418e-05,nan,-0.4328102384248529,1024,nan,-0.459393049048709,1024,8.714520367862986e-09,-0.1443866099736408,-0.10721372730513236,1024,-0.21842855821885418,-0.13437654227165438,1024,5.883500556065405e-05,nan,-0.4659909584708107,1024,nan,-0.4926325012516987,1024,2.615058480693853e-10,-0.14625456665848158,-0.10530376340493701,1024,-0.23528135880689585,-0.12663475207424363,1024,1.7245898365383775e-06,0.632514874591766,0.603482448001394,1024,0.5911654327967921,0.5847915251055004,1024,2.122960112635988e-06,nan,-0.7307732346365846,1024,nan,-0.7801186878620986,1024,2.600785196763738e-09,-0.10974147362719293,-0.059089192792860235,1024,-0.2383073365106048,-0.06840836447678993,1024,2.857532865353038e-05,0.7455955391656099,0.7260026862742258,1024,0.7758429327687418,0.7769389036907232,1024,3.2163640622568194e-05,nan,-0.7756493927412462,1024,nan,-0.8357116466096846,1024,5.074539254069807e-10,-0.08200796477242442,-0.04381177264720161,1024,-0.1972178716416838,-0.05077514796867177,1024,8.784463097003022e-06,0.7696585124443698,0.767206594689311,1024,0.8148377346979785,0.8363215368178242,1024,9.96607851851122e-06,-0.07031129721140345,0.17778997265236476,1024,-0.18958629859397647,0.11221982064945282,1024,6.590510695774351e-05
