cluster_id,model,channel_id,quantity,value,sign,reciprocal,nearest_target,log_distance,relative_distance_to_alpha,relative_distance_to_3alpha,relative_distance_to_6alpha,alpha_input_dependency
MACS0416,C10,CH1,longitudinal_to_transverse,0.07021986810508682,+,14.240983741289009,6alpha,0.20514342944509606,0.9832946798287396,0.5061734251090773,0.20514342944509606,indirect
MACS0416,C10,CH1,irrotational_to_solenoidal,0.06326775721654102,+,15.805839245690148,6alpha,0.1598658594505418,0.9380171098341855,0.460895855114523,0.1598658594505418,indirect
MACS0416,C10,CH2,channel_fraction_CH2,0.933416198378624,+,1.0713334541837118,6alpha,1.3287587533584144,2.106910003742058,1.6297887490223955,1.3287587533584144,indirect
MACS0416,C10,CH2,channel_fraction_CH1_longitudinal,0.06554436233729853,+,15.256842302529233,6alpha,0.1752187627474052,0.9533700131310489,0.47624875841138636,0.1752187627474052,indirect
MACS0416,C10,CH2,channel_fraction_CH2_transverse,0.933416198378624,+,1.0713334541837118,6alpha,1.3287587533584144,2.106910003742058,1.6297887490223955,1.3287587533584144,indirect
MACS0416,C10,CH2,channel_fraction_CH3_irrotational,0.057578713249991385,+,17.36752948365253,6alpha,0.11894537523740871,0.8970966256210524,0.4199753709013899,0.11894537523740871,indirect
MACS0416,C10,CH2,channel_fraction_CH4_solenoidal,0.9100798856030531,+,1.0988046388228463,6alpha,1.317762935842972,2.095914186226616,1.6187929315069534,1.317762935842972,indirect
MACS0416,C10,CH2,longitudinal_to_transverse,0.07021986810508682,+,14.240983741289009,6alpha,0.20514342944509606,0.9832946798287396,0.5061734251090773,0.20514342944509606,indirect
MACS0416,C10,CH2,irrotational_to_solenoidal,0.06326775721654102,+,15.805839245690148,6alpha,0.1598658594505418,0.9380171098341855,0.460895855114523,0.1598658594505418,indirect
MACS0416,C10,CH3,channel_fraction_CH3,0.057578713249991385,+,17.36752948365253,6alpha,0.11894537523740871,0.8970966256210524,0.4199753709013899,0.11894537523740871,indirect
MACS0416,C10,CH3,channel_fraction_CH1_longitudinal,0.06554436233729853,+,15.256842302529233,6alpha,0.1752187627474052,0.9533700131310489,0.47624875841138636,0.1752187627474052,indirect
MACS0416,C10,CH3,channel_fraction_CH2_transverse,0.933416198378624,+,1.0713334541837118,6alpha,1.3287587533584144,2.106910003742058,1.6297887490223955,1.3287587533584144,indirect
MACS0416,C10,CH3,channel_fraction_CH3_irrotational,0.057578713249991385,+,17.36752948365253,6alpha,0.11894537523740871,0.8970966256210524,0.4199753709013899,0.11894537523740871,indirect
MACS0416,C10,CH3,channel_fraction_CH4_solenoidal,0.9100798856030531,+,1.0988046388228463,6alpha,1.317762935842972,2.095914186226616,1.6187929315069534,1.317762935842972,indirect
MACS0416,C10,CH3,longitudinal_to_transverse,0.07021986810508682,+,14.240983741289009,6alpha,0.20514342944509606,0.9832946798287396,0.5061734251090773,0.20514342944509606,indirect
MACS0416,C10,CH3,irrotational_to_solenoidal,0.06326775721654102,+,15.805839245690148,6alpha,0.1598658594505418,0.9380171098341855,0.460895855114523,0.1598658594505418,indirect
MACS0416,C10,CH4,channel_fraction_CH4,0.9100798856030531,+,1.0988046388228463,6alpha,1.317762935842972,2.095914186226616,1.6187929315069534,1.317762935842972,indirect
MACS0416,C10,CH4,channel_fraction_CH1_longitudinal,0.06554436233729853,+,15.256842302529233,6alpha,0.1752187627474052,0.9533700131310489,0.47624875841138636,0.1752187627474052,indirect
MACS0416,C10,CH4,channel_fraction_CH2_transverse,0.933416198378624,+,1.0713334541837118,6alpha,1.3287587533584144,2.106910003742058,1.6297887490223955,1.3287587533584144,indirect
MACS0416,C10,CH4,channel_fraction_CH3_irrotational,0.057578713249991385,+,17.36752948365253,6alpha,0.11894537523740871,0.8970966256210524,0.4199753709013899,0.11894537523740871,indirect
MACS0416,C10,CH4,channel_fraction_CH4_solenoidal,0.9100798856030531,+,1.0988046388228463,6alpha,1.317762935842972,2.095914186226616,1.6187929315069534,1.317762935842972,indirect
MACS0416,C10,CH4,longitudinal_to_transverse,0.07021986810508682,+,14.240983741289009,6alpha,0.20514342944509606,0.9832946798287396,0.5061734251090773,0.20514342944509606,indirect
MACS0416,C10,CH4,irrotational_to_solenoidal,0.06326775721654102,+,15.805839245690148,6alpha,0.1598658594505418,0.9380171098341855,0.460895855114523,0.1598658594505418,indirect
MACS0416,A8,CH0,channel_fraction_CH0,1.0,+,1.0,6alpha,1.358683420056105,2.136834670439749,1.6597134157200863,1.358683420056105,indirect
MACS0416,A8,CH0,channel_fraction_CH1_longitudinal,0.027055506135945578,+,36.96105313925041,3alpha,0.09196907854947779,0.5690903332691403,0.09196907854947779,0.2090609171145034,indirect
MACS0416,A8,CH0,channel_fraction_CH2_transverse,0.968459761778421,+,1.0325674224850194,6alpha,1.344765001125045,2.1229162515086886,1.6457949967890262,1.344765001125045,indirect
MACS0416,A8,CH0,channel_fraction_CH3_irrotational,0.04463709365368801,+,22.402892261722734,6alpha,0.008379329747802424,0.786530580131446,0.3094093254117836,0.008379329747802424,indirect
MACS0416,A8,CH0,channel_fraction_CH4_solenoidal,0.931844201630085,+,1.073140765645898,6alpha,1.3280267272294153,2.1061779776130587,1.6290567228933965,1.3280267272294153,indirect
MACS0416,A8,CH0,longitudinal_to_transverse,0.02793663423482095,+,35.79529271831801,3alpha,0.10588749748053795,0.5830087522002003,0.10588749748053795,0.19514249818344323,indirect
MACS0416,A8,CH0,irrotational_to_solenoidal,0.04790188485972641,+,20.876005253829828,6alpha,0.03903602257449229,0.817187272958136,0.3400660182384735,0.03903602257449229,indirect
