transport_code,transport_name,quantity_name,value,log_abs,nearest_constant,nearest_constant_value,log10_distance_to_constant,factor_to_constant,is_alpha_or_3alpha
T1,Scalar Density,median_pearson_kappa_over_rms_kappa,0.7646835735633418,-0.1165182389433055,1/e,0.36787944117144233,0.31777624295994633,2.0786254625383576,False
T1,Scalar Density,median_coherence_gain_over_memory,1.3433925571208652e-05,-4.871797062178678,alpha_fs/2,0.0036486762846419008,2.433932396074948,0.003681862824541346,False
T1,Scalar Density,median_invariant_drift,12.501262477843675,1.096953873766047,1/e,0.36787944117144233,1.5312483556692988,33.98195462631936,False
T1,Scalar Density,median_wave_mode_stability,0.9951585495508779,-0.002107721556216041,1/e,0.36787944117144233,0.4321867603470358,2.7051214016798117,False
T1,Scalar Density,median_wave_coherence_over_grid,0.01171875,-1.9311187105921872,2*alpha_fs,0.014594705138567603,0.09531403581641952,0.8029453071328124,False
T1,Scalar Density,DT_over_relaxation_time,0.009090909090909092,-2.041392685158225,alpha_fs,0.0072973525692838015,0.0954419852815238,1.2457818098545455,True
T1,Scalar Density,K_over_omega,5.0,0.6989700043360189,1/e,0.36787944117144233,1.1332644862392707,13.591409142295225,False
T1,Scalar Density,K_times_DT,0.1,-1.0,1/pi,0.3183098861837907,0.5028501273058662,0.3141592653589793,False
T1,Scalar Density,omega_times_DT,0.020000000000000004,-1.6989700043360187,3*alpha_fs,0.021892057707851405,0.03925658861593237,0.9135733272266667,True
T1,Scalar Density,FAST_over_SLOW_timescale,0.8,-0.09691001300805639,1/e,0.36787944117144233,0.33738446889519547,2.1746254627672363,False
T1,Scalar Density,FAST_times_DT,0.020000000000000004,-1.6989700043360187,3*alpha_fs,0.021892057707851405,0.03925658861593237,0.9135733272266667,True
T1,Scalar Density,corr_len/grid_n_Abell2744,0.01171875,-1.9311187105921872,2*alpha_fs,0.014594705138567603,0.09531403581641952,0.8029453071328124,False
T1,Scalar Density,coherence/grid_n_Abell2744,0.01171875,-1.9311187105921872,2*alpha_fs,0.014594705138567603,0.09531403581641952,0.8029453071328124,False
T1,Scalar Density,max_cons_err_Abell2744,2.220446049250313e-16,-15.653559774527022,alpha_fs/2,0.0036486762846419008,13.215695108423292,6.085620855422746e-14,False
T1,Scalar Density,corr_len/grid_n_MACS0416,0.02734375,-1.5631419252975927,3*alpha_fs,0.021892057707851405,0.0965714904224936,1.2490260333177081,True
