cluster_id,family,scale,m10_los_mag_rms,final_angular_centroid_mag_rms,final_angular_spread_rms_rms,final_angular_rms_angle_mag_rms,final_transverse_velocity_rms,final_transverse_displacement_rms,g3d_unit_speed_max_error,g3d_unit_speed_pass,first_step_exact_max_vector_error,first_step_exact_pass,angular_identity_error,angular_covariance_psd_pass,angular_direction_mean_bound_pass,m10_los_mag_vs_observed_pearson,m10_los_mag_vs_observed_spearman,m10_los_mag_vs_observed_count,final_angular_centroid_mag_vs_observed_pearson,final_angular_centroid_mag_vs_observed_spearman,final_angular_centroid_mag_vs_observed_count,final_angular_spread_rms_vs_observed_pearson,final_angular_spread_rms_vs_observed_spearman,final_angular_spread_rms_vs_observed_count,final_angular_rms_angle_mag_vs_observed_pearson,final_angular_rms_angle_mag_vs_observed_spearman,final_angular_rms_angle_mag_vs_observed_count
Abell2744,SOURCE,0.25,1.791426816199042e-05,8.65054747891695e-05,0.0001146090833847827,0.00014359122244343389,0.00014318300647382813,0.00034407702181440036,2.220446049250313e-16,True,4.930229480886264e-16,True,2.0948677341959389e-16,True,True,0.3827015951502073,0.19158935203718994,4096,0.5829074667798255,0.47697090653079954,1024,0.6718438273491087,0.6454295543196674,1024,0.6612429723486294,0.584519993266794,1024
Abell2744,SOURCE,0.5,3.4734868754017946e-05,0.00016890617823672591,0.00023035081701007736,0.00028564102636656865,0.0002846191611616035,0.0006845295731698092,2.220446049250313e-16,True,4.93022917829498e-16,True,2.138319610156148e-16,True,True,0.39439752475999945,0.2370445455875512,4096,0.599299660910278,0.5644434776859459,1024,0.6743555104725929,0.6833676047730437,1024,0.6668839346650461,0.6434268839004926,1024
Abell2744,SOURCE,1.0,6.880727931254656e-05,0.000333215995452039,0.00046236150021727553,0.0005699219740528198,0.0005679822103337013,0.001367791442322435,2.220446049250313e-16,True,4.930228539866362e-16,True,2.3679583877197045e-16,True,True,0.4014899169350398,0.2877454415732852,4096,0.6070565440580115,0.611522745062334,1024,0.6775872186273392,0.7025916661000787,1024,0.6727105702509663,0.673969742407071,1024
Abell2744,SOURCE,2.0,0.000138013177598123,0.000668869887617086,0.0009232621706367686,0.0011400876993853636,0.0011364185759935963,0.0027449256340437126,2.220446049250313e-16,True,4.930227279802282e-16,True,1.970634587369473e-16,True,True,0.40633064965542465,0.32820005018447335,4096,0.6070611185829746,0.6531029837228297,1024,0.6775145176971858,0.7244646830176674,1024,0.6729274766147121,0.6983601399805339,1024
Abell2744,SOURCE,4.0,0.00027909482950690714,0.001356189490573491,0.001834511007995982,0.0022813769028374987,0.002274019009217527,0.005522652166427414,2.220446049250313e-16,True,4.930224801921926e-16,True,1.9550118617739618e-16,True,True,0.4079300940842519,0.3589855690705194,4096,0.6067099040393613,0.6775087203430817,1024,0.6775714942266298,0.7437264856641973,1024,0.6720856145223486,0.7159261034356267,1024
Abell2744,RESPONSE,0.25,1.720181982813664e-05,8.39825139486258e-05,0.0001162758851130166,0.00014343341349890048,0.00014291057669166762,0.00034351913095803383,2.220446049250313e-16,True,4.826257892406673e-16,True,1.861964258791671e-16,True,True,0.4014899169350398,0.2877454415732852,4096,0.6053798316653853,0.6113308588955984,1024,0.6761655567190643,0.7025913308203675,1024,0.6707157467940166,0.6739748610106625,1024
Abell2744,RESPONSE,0.5,3.440363965627328e-05,0.00016745323756887858,0.00023198781477325623,0.0002861100015301282,0.0002850853409324443,0.0006857696914539117,2.220446049250313e-16,True,4.742336158064082e-16,True,2.0273702756818116e-16,True,True,0.4014899169350398,0.2877454415732852,4096,0.6064123479751501,0.6113280537220144,1024,0.6770631868485,0.7025939348261248,1024,0.6718133794897791,0.6739746039628839,1024
Abell2744,RESPONSE,1.0,6.880727931254656e-05,0.000333215995452039,0.00046236150021727553,0.0005699219740528198,0.0005679822103337013,0.001367791442322435,2.220446049250313e-16,True,4.930228539866362e-16,True,2.3679583877197045e-16,True,True,0.4014899169350398,0.2877454415732852,4096,0.6070565440580115,0.611522745062334,1024,0.6775872186273392,0.7025916661000787,1024,0.6727105702509663,0.673969742407071,1024
Abell2744,RESPONSE,2.0,0.0001376145586250931,0.0006656003473573207,0.0009139418263739898,0.001130625262586154,0.001127050743089472,0.002722931818269988,2.220446049250313e-16,True,4.782261239136017e-16,True,1.8913795959003587e-16,True,True,0.4014899169350398,0.2877454415732852,4096,0.6062419567620525,0.6124291234697041,1024,0.6805014199906128,0.7025947897893884,1024,0.674326359183093,0.6739779846999723,1024
Abell2744,RESPONSE,4.0,0.0002752291172501862,0.001330485588776497,0.0017910345400674636,0.002231142448535416,0.002224453141264895,0.005399693322248437,3.3306690738754696e-16,True,4.892304679589859e-16,True,1.9496346825462376e-16,True,True,0.4014899169350398,0.2877454415732852,4096,0.6064460590124819,0.6126974478226064,1024,0.6843887435467024,0.7026291950757565,1024,0.6762446318669163,0.6739625283052842,1024
